,ipaddress,dateandtime,url,statuscode,bytessent,refferer,useragent,class,malicious,url_sem_query,qtd_query_params,navegador
0,195.82.31.125,09/Mar/2004:22:03:09 -0500,http://www.goldengate.hu/cgi-bin/top/topsites.cgi?an12 ,200,558,"""http://Afrique""",Mozilla/4.0 (compatible; MSIE 5.5; Windows 98),n,0,/cgi-bin/top/topsites.cgi,0,Microsoft Internet Explorer
1,195.82.31.125,09/Mar/2004:22:03:12 -0500,http://www.goldengate.hu/cgi-bin/top/topsites.cgi ,300,284,"""http://www.goldengate.hu/cgi-bin/top/topsites.cgi?an12""",Mozilla/4.0 (compatible; MSIE 5.5; Windows 98),n,0,/cgi-bin/top/topsites.cgi,0,Microsoft Internet Explorer
2,195.82.31.125,09/Mar/2004:22:03:15 -0500,http://toplist.goldengate.hu/ ,200,992,"""http://www.goldengate.hu/cgi-bin/top/topsites.cgi?an12""",Mozilla/4.0 (compatible; MSIE 5.5; Windows 98),n,0,/,0,Microsoft Internet Explorer
3,218.93.92.137,09/Mar/2004:22:04:16 -0500,http://xmlrevenue.com/s.php?username=jenneypan&keywords=Online+Gambling ,200,578,"""http://www.myshoppingpage.com/index.htm""",Mozilla/4.0 (compatible; MSIE 6.0; Windows 98),n,0,/s.php,2,Microsoft Internet Explorer
4,192.117.242.67,09/Mar/2004:22:04:29 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
5,192.117.242.67,09/Mar/2004:22:04:29 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
6,61.172.244.109,09/Mar/2004:22:08:13 -0500,195.228.231.51:25 ,500,434,"""-""",-,n,0,195.228.231.51:25,0,without browser
7,203.61.199.63,09/Mar/2004:22:08:53 -0500,http://hpcgi1.com/trino/ProxyJ/prxjdg.cgi ,500,428,"""-""",Mozilla/3.0 (compatible),n,0,/trino/ProxyJ/prxjdg.cgi,0,without browser
8,203.121.182.141,09/Mar/2004:22:09:34 -0500,202.96.254.200:25 ,200,0,"""-""",-,n,0,202.96.254.200:25,0,without browser
9,192.117.242.67,09/Mar/2004:22:09:38 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
