timestamp,ram,usage
1639590609.031619,70443008,100.0
1639590609.2331278,72851456,25.0
1639590609.434782,76001280,28.4
1639590609.6361854,77557760,37.8
1639590609.8381894,82477056,29.6
1639590610.0399287,86315008,48.8
1639590610.2417197,91992064,58.3
1639590610.4432201,99991552,57.3
1639590610.6448514,102055936,50.6
1639590610.846458,74555392,24.4
1639590611.048475,77377536,32.5
1639590611.2501633,79716352,31.2
1639590611.4518554,83845120,42.9
1639590611.6534703,91328512,53.1
1639590611.854917,96489472,60.8
1639590612.056669,101650432,48.1
1639590612.2582374,107585536,58.5
1639590612.4599662,108101632,26.3
1639590612.6621442,111714304,36.1
1639590612.8637576,112488448,42.5
1639590613.0653214,113520640,25.0
1639590613.2669697,117133312,24.7
1639590613.468402,118165504,31.3
1639590613.6699889,118939648,35.4
1639590613.8714724,120745984,42.7
1639590614.0730016,120995840,25.0
1639590614.2745914,123318272,25.0
1639590614.476181,123834368,37.0
1639590614.677781,124092416,27.2
1639590614.879343,125640704,25.9
1639590615.0809014,126414848,25.9
1639590615.2825274,133124096,25.0
1639590615.4843366,133632000,34.1
1639590615.6859214,134148096,31.6
1639590615.887687,134664192,41.3
1639590616.0894039,135954432,49.4
1639590616.2910602,136212480,51.2
1639590616.492581,136728576,27.5
1639590616.6942031,138018816,30.0
1639590616.8957691,138534912,36.2
1639590617.0971358,138530816,17.3
1639590617.2982912,138530816,0.0
1639590617.499421,138530816,0.0
1639590617.7007263,138530816,1.2
1639590617.9027455,138530816,0.0
1639590618.1048417,138530816,0.0
1639590618.3068874,138530816,0.0
1639590618.5089538,138530816,0.0
1639590618.7112627,138530816,1.2
1639590618.913444,138530816,0.0
1639590619.1154935,138530816,0.0
1639590619.3175368,138530816,0.0
1639590619.5197074,138530816,0.0
1639590619.7218394,138530816,1.2
1639590619.9240875,138526720,1.2
1639590620.126177,138526720,0.0
1639590620.3282282,138526720,0.0
1639590620.5304132,138526720,0.0
1639590620.7326102,138526720,1.2
1639590620.9346888,138526720,0.0
1639590621.1367493,138526720,0.0
1639590621.3387537,138526720,0.0
1639590621.540946,138526720,0.0
1639590621.7431486,138526720,1.2
1639590621.9452422,138526720,0.0
1639590622.1470547,139087872,17.1
1639590622.348699,139476992,36.7
1639590622.550394,140963840,34.6
1639590622.752011,141221888,30.5
1639590622.9535878,141996032,36.7
1639590623.1551445,142770176,28.4
1639590623.3567467,143286272,41.3
1639590623.5584545,143544320,31.2
1639590623.7603683,143802368,43.2
1639590623.962057,144056320,47.0
1639590624.1638358,144588800,45.7
1639590624.3652694,145100800,28.4
1639590624.5669446,145444864,29.1
1639590624.7685096,145960960,25.0
1639590624.970199,146735104,42.0
1639590625.1720273,148000768,39.3
1639590625.3735752,148746240,55.8
1639590625.5752287,150175744,42.5
1639590625.7771766,150069248,62.8
1639590625.9788966,150552576,50.0
1639590626.1807866,152358912,39.8
1639590626.3824375,155971584,35.8
1639590626.5840776,158552064,25.0
1639590626.7857378,159326208,25.0
1639590626.9875548,159842304,41.8
1639590627.1891606,161648640,39.5
1639590627.391012,162422784,34.1
1639590627.5926917,163454976,43.7
1639590627.7943854,163971072,28.4
1639590627.9960485,164229120,20.0
1639590628.1978836,164990976,34.2
1639590628.399651,166035456,40.7
1639590628.6015897,166309888,30.5
1639590628.8041718,166858752,30.9
1639590629.006855,167415808,34.2
1639590629.2098522,167673856,25.9
1639590629.4125843,167931904,26.8
1639590629.6155055,168714240,32.1
1639590629.8184896,169488384,37.5
1639590630.0211542,170004480,43.4
1639590630.2238646,170278912,25.3
1639590630.4266143,170536960,29.6
1639590630.6292808,171061248,37.8
1639590630.831992,171061248,26.8
1639590631.0345802,171577344,32.5
1639590631.2371867,172093440,26.3
1639590631.4399838,172351488,32.9
1639590631.6427138,172609536,26.8
1639590631.8456597,172867584,30.0
1639590632.0474432,173383680,31.6
1639590632.2490156,174481408,27.8
1639590632.4510357,175013888,40.5
1639590632.6527116,175271936,48.8
1639590632.85441,175517696,32.9
1639590633.0560153,178896896,40.5
1639590633.257669,182259712,25.9
1639590633.4597962,183808000,25.9
1639590633.6615088,184066048,30.9
1639590633.8630137,184324096,38.3
1639590634.0644705,184864768,27.5
1639590634.2659447,185638912,35.0
1639590634.4674993,188243968,27.5
1639590634.6689265,189816832,30.5
1639590634.8703737,190574592,25.9
1639590635.0718849,190812160,51.9
1639590635.2738712,191328256,68.4
1639590635.4755828,192618496,56.8
1639590635.677033,193138688,31.3
1639590635.8785374,194428928,25.0
1639590636.0804858,194686976,28.8
1639590636.2821376,195977216,36.1
1639590636.4837856,196734976,33.3
1639590636.685413,197009408,25.0
1639590636.887003,197267456,38.3
1639590637.088522,197791744,27.5
1639590637.2902088,198565888,25.0
1639590637.491716,198823936,27.2
1639590637.6932728,199081984,26.2
1639590637.894849,199868416,31.6
1639590638.0964646,200110080,25.0
1639590638.29796,200626176,26.2
1639590638.4997125,202174464,25.0
1639590638.7011983,202690560,26.8
1639590638.902806,203206656,26.2
1639590639.1043644,204005376,30.0
1639590639.3058746,204263424,25.0
1639590639.5074875,204521472,25.0
1639590639.7098892,205287424,28.0
1639590639.9114122,207593472,28.9
1639590640.113015,208109568,25.0
1639590640.3146908,208625664,27.2
1639590640.516343,208883712,25.0
1639590640.7179413,209399808,25.0
1639590640.919427,211464192,25.9
1639590641.12105,211722240,29.3
1639590641.3226666,212504576,33.3
1639590641.5243104,212779008,35.0
1639590641.7258773,213037056,36.2
1639590641.9277422,213270528,40.0
1639590642.129381,213528576,37.8
1639590642.3309538,214044672,28.0
1639590642.5325696,214818816,29.3
