timestamp,ram,usage
1639593532.9962947,57462784,0.0
1639593533.1974552,57462784,0.0
1639593533.3991885,57462784,0.0
1639593533.6013525,61100032,25.9
1639593533.8029637,62914560,25.9
1639593534.004385,62181376,25.3
1639593534.205912,65277952,24.7
1639593534.407355,69406720,25.0
1639593534.608963,72503296,25.0
1639593534.81047,74825728,26.8
1639593535.0120547,79060992,25.0
1639593535.2138796,80875520,38.0
1639593535.4153762,83439616,26.2
1639593535.6170015,88367104,38.7
1639593535.8186574,95592448,49.4
1639593536.0203223,99979264,50.0
1639593536.2218847,104108032,47.5
1639593536.4234633,106172416,35.4
1639593536.624945,79278080,26.2
1639593536.8265152,80568320,37.0
1639593537.0280092,83406848,28.7
1639593537.2307582,91922432,48.2
1639593537.432479,95535104,50.0
1639593537.6340775,99921920,48.8
1639593537.8358254,104050688,48.7
1639593538.037408,106115072,50.0
1639593538.2389288,111017984,41.3
1639593538.4407325,112566272,28.9
1639593538.642366,115404800,43.7
1639593538.8439083,116436992,28.8
1639593539.045415,118243328,25.0
1639593539.246999,121081856,27.2
1639593539.4485645,121597952,35.9
1639593539.6503987,123920384,31.3
1639593539.8520555,124436480,40.0
1639593540.0535781,124694528,25.0
1639593540.255082,126500864,25.0
1639593540.4566162,127016960,35.0
1639593540.6582682,127275008,26.6
1639593540.8599846,127533056,26.5
1639593541.0615385,134758400,25.0
1639593541.2630649,135274496,25.0
1639593541.464548,135790592,36.7
1639593541.666085,136564736,32.1
1639593541.867712,137338880,48.1
1639593542.06932,137588736,50.0
1639593542.2708595,138612736,39.0
1639593542.4725802,139128832,29.6
1639593542.6742022,140161024,29.1
1639593542.8758006,140419072,35.8
1639593543.0773983,140677120,23.8
1639593543.2790053,140935168,28.7
1639593543.4805837,141705216,26.8
1639593543.6823187,142221312,35.8
1639593543.8838868,143511552,31.3
1639593544.0856981,144027648,38.7
1639593544.2873642,144543744,30.0
1639593544.4888332,144543744,38.3
1639593544.6904216,144801792,45.7
1639593544.8923128,145342464,49.4
1639593545.0938902,145592320,47.5
1639593545.2956,146178048,20.3
1639593545.4971116,146436096,30.4
1639593545.6987636,147476480,24.7
1639593545.9003491,148254720,30.9
1639593546.101853,148254720,44.3
1639593546.303361,148520960,29.6
1639593546.505216,148779008,46.2
1639593546.7069633,149295104,50.0
1639593546.9087358,151101440,40.7
1639593547.1104438,155553792,37.3
1639593547.3119483,158134272,27.2
1639593547.5135663,159166464,25.0
1639593547.7152894,159424512,41.3
1639593547.9169397,159940608,38.8
1639593548.1188085,161746944,30.0
1639593548.3204074,162263040,42.7
1639593548.521941,162779136,26.2
1639593548.7235272,163295232,20.0
1639593548.9251564,164585472,25.0
1639593549.1269295,164831232,36.2
1639593549.330372,165646336,37.3
1639593549.5319045,166486016,30.4
1639593549.7335002,167002112,25.0
1639593549.9353404,168558592,30.0
1639593550.136951,169590784,35.0
1639593550.3384671,170389504,32.5
1639593550.540056,170647552,26.5
1639593550.741647,171421696,27.8
1639593550.943258,172453888,28.7
1639593551.1448047,172969984,35.4
1639593551.3465533,173809664,26.3
1639593551.5484314,174841856,37.0
1639593551.7501538,175099904,46.3
1639593551.9516594,175624192,32.9
1639593552.1531894,179003392,38.3
1639593552.3547466,180817920,25.9
1639593552.5563173,182366208,25.3
1639593552.7580285,182882304,37.8
1639593552.959787,183148544,32.5
1639593553.1617472,183681024,31.7
1639593553.3632855,184713216,35.4
1639593553.5648682,187293696,25.0
1639593553.7664192,187809792,25.0
1639593553.9682684,188583936,25.0
1639593554.170142,189390848,72.3
1639593554.3718734,189648896,57.5
1639593554.5734594,191197184,50.0
1639593554.7751365,192237568,25.0
1639593554.976767,193794048,25.3
1639593555.178563,193794048,37.5
1639593555.380277,195084288,31.3
1639593555.581879,195342336,25.0
1639593555.7834983,195858432,27.5
1639593555.985137,196382720,35.0
1639593556.186774,197931008,29.1
1639593556.3882625,198189056,26.2
1639593556.5900218,198705152,28.9
1639593556.7917202,199221248,26.2
1639593556.9933414,199729152,25.0
1639593557.1948736,199987200,25.0
1639593557.396467,200245248,25.0
1639593557.5980618,202051584,26.2
1639593557.7997696,202567680,25.0
1639593558.001368,203083776,30.5
1639593558.2030404,203599872,25.3
1639593558.404551,203857920,25.0
1639593558.606149,204115968,25.0
1639593558.8077424,204374016,25.0
1639593559.0094388,207470592,25.9
1639593559.2112668,207986688,27.4
1639593559.4129229,208244736,25.0
1639593559.614605,208760832,25.0
1639593559.8162074,209027072,25.0
1639593560.0176694,211091456,25.3
1639593560.2191348,211607552,28.4
1639593560.4207716,211865600,37.8
1639593560.622428,212123648,43.8
1639593560.8240616,212381696,30.0
1639593561.0257304,212639744,43.2
1639593561.2273467,213155840,26.6
1639593561.4290373,213671936,25.0
1639593561.630723,213929984,32.1
1639593561.8323882,214446080,26.2
1639593562.0340674,217026560,40.0
1639593562.2356756,217800704,50.0
1639593562.4373562,218832896,50.0
1639593562.639015,219090944,50.0
1639593562.8406942,219348992,51.2
1639593563.0429196,219348992,31.3
1639593563.2448363,222445568,51.2
1639593563.4469087,224509952,50.0
1639593563.6486826,225284096,50.0
1639593563.8506677,227090432,56.1
1639593564.0524275,228634624,73.8
1639593564.2542748,230440960,50.0
1639593564.4559414,231989248,49.4
1639593564.6579597,234311680,49.4
1639593564.8598735,235859968,49.4
1639593565.0615752,236892160,51.8
1639593565.2635424,237150208,50.0
1639593565.4653642,237666304,50.6
1639593565.667031,238698496,32.5
1639593565.868886,239214592,49.4
1639593566.0705156,239730688,33.3
1639593566.271994,241278976,25.3
1639593566.4736512,241795072,25.9
1639593566.6753018,242569216,25.0
1639593566.877,242827264,27.8
1639593567.0786996,243343360,42.0
1639593567.2804856,244633600,51.2
1639593567.4821393,244891648,50.0
1639593567.6839042,244891648,50.0
1639593567.8858378,245149696,50.0
1639593568.0874043,245149696,50.0
1639593568.2889566,245149696,36.2
1639593568.4905849,245407744,30.1
1639593568.6921887,245407744,28.7
1639593568.893788,245665792,25.0
1639593569.0954192,245923840,25.0
1639593569.2970455,247472128,25.0
1639593569.4985769,247472128,26.6
1639593569.700273,247730176,31.7
1639593569.901847,247730176,30.0
1639593570.1034358,247730176,28.4
1639593570.3049617,248246272,25.0
1639593570.5065062,248246272,26.6
1639593570.7082732,248246272,33.3
1639593570.9100266,248246272,31.0
1639593571.111608,248504320,25.0
1639593571.3132849,250568704,25.0
1639593571.5148592,251084800,30.8
1639593571.7164793,251084800,46.2
1639593571.9181964,251084800,50.0
1639593572.1201963,251342848,49.4
1639593572.3217576,251858944,26.6
1639593572.5233157,252116992,25.0
1639593572.7249267,252116992,28.4
1639593572.926516,252375040,25.0
1639593573.1281357,252375040,27.8
1639593573.3299253,252375040,27.5
1639593573.531549,253407232,26.8
1639593573.7331858,253665280,25.0
1639593573.934769,253665280,27.8
1639593574.136591,253665280,35.8
1639593574.3381033,253665280,28.8
1639593574.5396779,253923328,26.2
1639593574.7413216,254181376,27.7
1639593574.943138,254439424,27.2
1639593575.1448927,254955520,50.0
1639593575.3465421,256245760,42.5
1639593575.5481703,256503808,27.2
1639593575.7499256,257019904,24.7
1639593575.951545,257277952,26.8
1639593576.1534054,257794048,30.4
1639593576.3549993,258052096,25.6
1639593576.5565374,258568192,25.3
1639593576.758191,259858432,25.0
1639593576.9599576,260366336,33.8
1639593577.1614988,265011200,27.5
1639593577.3630662,265269248,33.7
1639593577.5646784,266817536,25.0
1639593577.7662647,267075584,30.0
1639593577.9678884,267591680,26.2
1639593578.1696155,268107776,31.3
1639593578.3714018,268623872,32.1
1639593578.573031,269139968,46.3
1639593578.7746296,269398016,31.6
1639593578.9761784,269656064,25.0
1639593579.1777482,269914112,36.3
1639593579.3793721,270688256,29.5
1639593579.5809717,270946304,25.9
1639593579.7825933,271204352,31.3
1639593579.984193,271462400,27.5
1639593580.185838,271720448,25.9
1639593580.3875804,272752640,39.5
1639593580.589309,273010688,37.8
1639593580.791097,273268736,52.4
1639593580.9928877,273526784,50.0
1639593581.194612,274300928,37.0
1639593581.3962617,274817024,26.6
1639593581.5980446,274817024,45.0
1639593581.7998476,276365312,62.0
1639593582.0016444,276881408,64.6
1639593582.2034745,277118976,50.0
1639593582.4050114,278151168,48.7
1639593582.6068635,280473600,53.2
1639593582.8087516,280997888,57.5
1639593583.0104723,282546176,51.2
1639593583.2121992,282546176,49.4
1639593583.4137404,282804224,50.6
1639593583.6154346,284868608,50.0
1639593583.8171637,285642752,50.0
1639593584.019029,284352512,60.3
1639593584.2209625,284766208,51.2
1639593584.4225252,285032448,57.7
1639593584.6240997,285548544,55.7
1639593584.825896,286879744,76.2
1639593585.0275836,286851072,51.3
1639593585.2293744,286851072,50.0
1639593585.4312513,286851072,51.8
1639593585.6330829,287109120,50.0
1639593585.8349366,287367168,50.0
1639593586.0365868,291237888,46.2
1639593586.2380722,291753984,50.0
1639593586.4398563,291753984,50.6
1639593586.641693,291753984,52.4
1639593586.843506,292270080,50.6
1639593587.0452793,292270080,51.2
1639593587.2470646,292167680,51.3
1639593587.4488642,292425728,50.6
1639593587.6508222,292323328,52.9
1639593587.8526149,293298176,50.0
1639593588.0542645,293613568,50.0
1639593588.2559683,293613568,50.0
1639593588.4577687,293769216,50.0
1639593588.6597447,293769216,50.0
1639593588.8616416,296255488,48.2
