timestamp,disk_rb,disk_rc,disk_rt,disk_wb,disk_wc,disk_wt,ram,usage
1639584084.9771898,0.0,0.0,0.0,0.0,0.0,0.0,896286720,0.0
1639584085.183288,0.0,0.0,0.0,0.0,0.0,0.0,896290816,6.7
1639584085.394342,0.0,0.0,0.0,0.0,0.0,0.0,896339968,7.1
1639584085.601424,0.0,0.0,0.0,0.0,0.0,0.0,896339968,0.0
1639584085.810694,0.0,0.0,0.0,0.0,0.0,0.0,896339968,0.0
1639584086.0215008,0.0,0.0,0.0,0.0,0.0,0.0,896598016,7.8
1639584086.231252,77733.71107317906,19.043702219674568,4.760152894925596,0.0,0.0,0.0,896737280,6.6
1639584086.443734,0.0,0.0,0.0,0.0,0.0,0.0,896774144,8.0
1639584086.650133,0.0,0.0,0.0,0.0,0.0,0.0,899887104,16.0
1639584086.8538072,60323.068601919724,14.72898386507721,9.818793878797953,0.0,0.0,0.0,900186112,13.0
1639584087.0600462,0.0,0.0,0.0,0.0,0.0,0.0,903041024,14.1
1639584087.2664251,178736.239685481,43.612074074844294,9.692042310069727,198477.43294403888,14.538886565156806,0.0,911978496,15.6
1639584087.472793,0.0,0.0,0.0,178631.5469919383,9.691426458865257,0.0,914804736,0.0
1639584087.679144,0.0,0.0,0.0,0.0,0.0,0.0,914804736,0.0
1639584087.885521,0.0,0.0,0.0,0.0,0.0,0.0,914804736,0.0
1639584088.091908,0.0,0.0,0.0,0.0,0.0,0.0,939433984,20.2
1639584088.29851,0.0,0.0,0.0,0.0,0.0,0.0,942321664,22.4
1639584088.505033,0.0,0.0,0.0,0.0,0.0,0.0,942731264,6.1
1639584088.711411,0.0,0.0,0.0,0.0,0.0,0.0,942731264,22.1
1639584088.917275,0.0,0.0,0.0,19896.42797797247,4.8581621401236115,4.858280311954511,942731264,23.2
1639584089.123658,0.0,0.0,0.0,0.0,0.0,0.0,953462784,29.0
1639584089.330059,0.0,0.0,0.0,0.0,0.0,0.0,954900480,21.4
1639584089.53641,0.0,0.0,0.0,0.0,0.0,0.0,957956096,20.2
1639584089.7427998,0.0,0.0,0.0,0.0,0.0,0.0,964128768,0.0
1639584089.9491851,0.0,0.0,0.0,0.0,0.0,0.0,966352896,0.0
1639584090.1556082,0.0,0.0,0.0,0.0,0.0,0.0,971169792,24.3
1639584090.3620732,0.0,0.0,0.0,0.0,0.0,0.0,974610432,30.7
1639584090.568513,0.0,0.0,0.0,0.0,0.0,0.0,980094976,39.5
1639584090.774915,0.0,0.0,0.0,0.0,0.0,0.0,980094976,26.4
1639584090.981291,0.0,0.0,0.0,0.0,0.0,0.0,980094976,19.2
1639584091.187652,0.0,0.0,0.0,0.0,0.0,0.0,997761024,20.9
1639584091.3940349,0.0,0.0,0.0,0.0,0.0,0.0,999456768,21.2
1639584091.600418,0.0,0.0,0.0,0.0,0.0,0.0,1004277760,28.9
1639584091.806821,0.0,0.0,0.0,0.0,0.0,0.0,1005150208,20.6
1639584092.013207,39689.571552664165,9.690295735908908,0.0,19846.02369989072,4.844963174479961,0.0,1005150208,21.1
1639584092.219604,0.0,0.0,0.0,0.0,0.0,0.0,1008398336,19.3
1639584092.426037,0.0,0.0,0.0,0.0,0.0,0.0,1009909760,18.9
1639584092.632359,0.0,0.0,0.0,0.0,0.0,0.0,1012121600,19.8
1639584092.838815,0.0,0.0,0.0,238087.6507928809,4.8447281304216245,0.0,1013592064,22.3
1639584093.044653,0.0,0.0,0.0,0.0,0.0,0.0,1016967168,19.0
1639584093.250419,0.0,0.0,0.0,0.0,0.0,0.0,1022316544,20.9
1639584093.456129,0.0,0.0,0.0,0.0,0.0,0.0,1025576960,30.5
1639584093.661856,0.0,0.0,0.0,0.0,0.0,0.0,1033613312,23.8
1639584093.867646,0.0,0.0,0.0,0.0,0.0,0.0,1035739136,19.9
1639584094.071795,0.0,0.0,0.0,0.0,0.0,0.0,1037377536,17.7
1639584094.277639,0.0,0.0,0.0,0.0,0.0,0.0,1038848000,19.0
1639584094.483486,0.0,0.0,0.0,0.0,0.0,0.0,1034637312,23.2
1639584094.689303,0.0,0.0,0.0,0.0,0.0,0.0,1036185600,25.7
1639584094.89679,0.0,0.0,0.0,770928.6931852569,4.8433686802026354,4.849169839286065,1036767232,11.7
1639584095.106903,59199.5565765534,14.296066878293413,14.319184746428144,0.0,0.0,0.0,1041731584,0.0
1639584095.312872,38999.33302006506,9.675151610216995,4.824649249035772,1131427.245099376,9.613590991292469,0.0,1031823360,13.1
1639584095.518731,0.0,0.0,0.0,0.0,0.0,0.0,1034678272,24.8
1639584095.724697,0.0,0.0,0.0,0.0,0.0,0.0,1037922304,24.7
1639584095.930548,0.0,0.0,0.0,0.0,0.0,0.0,1039613952,19.8
1639584096.1364548,0.0,0.0,0.0,0.0,0.0,0.0,1041829888,21.1
1639584096.342359,0.0,0.0,0.0,0.0,0.0,0.0,1043566592,36.2
1639584096.548262,0.0,0.0,0.0,0.0,0.0,0.0,1040621568,22.6
1639584096.754111,338186.7928610385,9.715435280873631,4.857712014379824,0.0,0.0,0.0,1030524928,21.5
1639584096.96019,0.0,0.0,0.0,0.0,0.0,0.0,1008009216,0.0
1639584097.1661172,0.0,0.0,0.0,0.0,0.0,0.0,1010163712,0.0
1639584097.372038,5091239.076298322,24.28009581664704,9.711667280258773,0.0,0.0,0.0,1009917952,28.7
1639584097.5779252,6445696.172975978,14.57124593535477,9.714535194108702,0.0,0.0,0.0,1006608384,29.1
1639584097.7838268,0.0,0.0,0.0,0.0,0.0,0.0,1010302976,30.7
1639584097.989773,0.0,0.0,0.0,0.0,0.0,0.0,1016832000,25.8
1639584098.1957052,0.0,0.0,0.0,0.0,0.0,0.0,1018056704,21.2
1639584098.401643,0.0,0.0,0.0,0.0,0.0,0.0,1018884096,37.9
1639584098.607618,0.0,0.0,0.0,0.0,0.0,0.0,1019248640,25.9
1639584098.813535,0.0,0.0,0.0,79563.22874486662,19.422929806525705,0.0,1020657664,27.0
1639584099.01959,0.0,0.0,0.0,0.0,0.0,0.0,1022300160,42.8
1639584099.2255518,0.0,0.0,0.0,0.0,0.0,0.0,1022300160,29.9
1639584099.431485,0.0,0.0,0.0,0.0,0.0,0.0,1024294912,24.2
