timestamp,ram,usage
1639682955.2178261,632578048,0.0
1639682955.423179,633950208,27.8
1639682955.625408,639377408,34.8
1639682955.8310049,647454720,0.0
1639682956.036549,649502720,0.0
1639682956.2417521,651018240,27.5
1639682956.443079,651788288,20.2
1639682956.6487029,651964416,9.8
1639682956.8524811,651964416,33.7
1639682957.058419,651964416,35.6
1639682957.262111,663801856,43.4
1639682957.467634,664281088,43.6
1639682957.673217,664281088,43.2
1639682957.878728,664281088,41.0
1639682958.084408,664281088,44.8
1639682958.290067,671272960,25.6
1639682958.49566,671797248,23.3
1639682958.701264,673984512,33.7
1639682958.903797,673259520,20.4
1639682959.108344,674856960,20.7
1639682959.3139598,674492416,13.3
1639682959.5171971,674480128,2.5
1639682959.719896,674471936,3.1
1639682959.924927,674918400,12.1
1639682960.1305752,674918400,12.3
1639682960.3338041,679067648,12.1
1639682960.539454,680857600,17.9
1639682960.744972,684797952,17.0
1639682960.950565,684797952,14.5
1639682961.1514869,684797952,15.0
1639682961.352502,690442240,16.8
1639682961.55812,690442240,18.7
1639682961.763712,690483200,16.5
1639682961.968128,685969408,17.1
1639682962.173698,685969408,15.2
1639682962.3792262,682979328,15.8
1639682962.5832372,685207552,17.9
1639682962.785843,685502464,16.5
1639682962.991437,685449216,17.1
1639682963.195261,685449216,17.8
1639682963.4000819,681885696,17.7
1639682963.6022651,681947136,16.8
1639682963.807935,682037248,18.1
1639682964.01347,682037248,16.7
1639682964.219115,682037248,0.0
1639682964.424706,681971712,17.6
1639682964.6302578,681984000,17.0
1639682964.835819,682000384,17.6
1639682965.0373561,682004480,17.3
1639682965.24295,681889792,18.4
1639682965.4485602,686940160,17.6
1639682965.653294,686981120,19.0
1639682965.8582542,686997504,15.2
1639682966.0638962,686694400,14.6
1639682966.2693272,686686208,13.5
1639682966.474905,686551040,14.5
1639682966.680403,686551040,16.3
1639682966.8857532,686542848,14.5
1639682967.0910988,686542848,14.6
1639682967.2964401,686542848,13.4
1639682967.502013,686456832,16.0
1639682967.702723,686456832,14.3
1639682967.908035,686456832,13.9
1639682968.113446,686256128,14.5
1639682968.318787,686256128,13.0
1639682968.523251,686260224,15.2
1639682968.7286332,686219264,14.5
1639682968.934206,686219264,13.9
1639682969.1395998,686198784,12.8
1639682969.345035,686202880,0.0
1639682969.546786,686202880,13.1
1639682969.752161,686202880,13.9
1639682969.95774,686231552,13.0
1639682970.163109,690397184,0.0
1639682970.3672261,687964160,0.0
1639682970.571294,687931392,18.4
1639682970.776959,687890432,14.1
1639682970.9800901,688017408,14.9
1639682971.185694,687910912,14.4
1639682971.391113,687910912,15.2
1639682971.596649,686972928,13.5
1639682971.802238,687009792,15.9
1639682972.007841,687009792,13.9
1639682972.2109702,689819648,25.9
1639682972.416451,693133312,27.4
1639682972.617526,693800960,13.7
1639682972.823097,693821440,3.0
1639682973.028714,693837824,3.0
1639682973.2342541,693850112,2.5
1639682973.43991,693858304,2.4
1639682973.641304,693960704,3.8
1639682973.843262,695382016,12.9
1639682974.046506,695382016,26.2
1639682974.250628,695382016,14.2
1639682974.452074,695382016,40.6
1639682974.657516,701898752,18.6
1639682974.858104,702205952,17.9
1639682975.063573,702369792,19.1
1639682975.268982,707182592,34.5
1639682975.474307,713359360,47.0
1639682975.6750982,721502208,52.8
1639682975.876181,727441408,55.3
1639682976.0816371,738177024,44.5
1639682976.286912,742875136,64.1
1639682976.492144,743673856,0.0
1639682976.697558,751046656,41.0
1639682976.901088,754683904,35.4
1639682977.101621,754683904,46.3
1639682977.307156,754683904,32.7
1639682977.512626,754683904,32.7
1639682977.7165298,763568128,40.9
1639682977.921974,764170240,31.5
1639682978.12743,764583936,34.1
1639682978.33296,765300736,33.7
1639682978.538422,767602688,39.3
1639682978.73927,770039808,37.7
1639682978.9405599,764211200,39.4
1639682979.140998,766246912,37.1
1639682979.34653,766246912,36.5
1639682979.54896,766246912,0.0
1639682979.753215,769716224,32.6
1639682979.958648,770576384,26.4
1639682980.164203,771436544,26.3
1639682980.369808,771952640,27.0
1639682980.5747159,774107136,0.0
1639682980.7779598,774799360,27.2
1639682980.9786701,775344128,30.4
1639682981.184225,776089600,25.1
1639682981.389855,776994816,22.9
1639682981.595459,777355264,24.1
1639682981.8010151,777351168,15.7
1639682982.004025,775778304,15.3
1639682982.208029,775778304,13.6
1639682982.4136739,775778304,16.4
1639682982.619282,775778304,0.0
1639682982.8249521,775651328,13.1
1639682983.030659,775663616,14.1
1639682983.2362392,775606272,15.0
1639682983.441838,775610368,14.3
1639682983.6474261,775905280,13.7
1639682983.852992,776314880,16.0
1639682984.058548,776871936,25.3
1639682984.264124,777011200,0.0
1639682984.4672582,777154560,0.0
1639682984.672838,777576448,0.0
1639682984.878298,778006528,18.3
1639682985.0838988,779702272,13.9
1639682985.2894988,779927552,8.6
1639682985.495141,779898880,13.9
1639682985.7005801,779788288,0.0
1639682985.9058602,779788288,0.9
1639682986.1113741,779788288,0.6
1639682986.316839,779718656,1.2
1639682986.522491,778792960,1.9
1639682986.7278268,778756096,0.6
1639682986.933436,778772480,1.8
1639682987.1388109,778760192,0.0
1639682987.3410828,778747904,1.8
1639682987.546653,778694656,0.6
1639682987.751978,778690560,0.0
1639682987.95463,778690560,1.8
1639682988.1600142,778543104,0.6
1639682988.3652852,778555392,0.0
1639682988.570508,778547200,0.0
1639682988.7759,778518528,2.4
1639682988.9815621,778518528,1.8
1639682989.187188,778985472,3.0
1639682989.3890219,779710464,10.5
1639682989.594398,780148736,0.0
1639682989.79988,780177408,0.0
1639682990.005308,780234752,9.3
1639682990.20789,781553664,8.7
1639682990.41331,781783040,0.0
1639682990.6187992,781848576,0.0
1639682990.824237,783224832,0.0
1639682991.029498,786866176,13.2
1639682991.233829,786034688,21.6
1639682991.4391959,786186240,19.4
1639682991.644644,785510400,25.3
1639682991.850113,785510400,3.0
1639682992.055566,785563648,4.2
1639682992.261054,785563648,2.5
1639682992.466486,785571840,1.8
1639682992.67177,785559552,0.6
1639682992.87711,785514496,1.2
1639682993.082565,785514496,2.5
1639682993.287916,785518592,0.0
1639682993.493386,785522688,0.0
1639682993.698675,785502208,0.0
1639682993.9013388,785494016,0.0
1639682994.106774,785506304,1.8
1639682994.312245,785559552,10.0
1639682994.517726,785559552,1.8
1639682994.723107,785551360,4.3
1639682994.9285839,785874944,4.2
1639682995.131606,785842176,0.0
1639682995.3369112,785842176,1.8
1639682995.5423622,785846272,2.5
1639682995.747784,785723392,3.0
1639682995.949066,789454848,19.4
1639682996.1545758,791867392,37.6
1639682996.360105,794259456,47.9
1639682996.565695,796000256,41.2
1639682996.771225,798314496,41.6
1639682996.9767702,798314496,41.1
1639682997.1823301,800423936,25.9
1639682997.383214,800919552,12.6
1639682997.588703,800919552,16.5
1639682997.794237,800919552,14.5
1639682997.999773,800919552,10.8
1639682998.2053142,803909632,17.2
1639682998.410861,804691968,24.7
1639682998.61639,805298176,16.7
1639682998.821904,805953536,9.9
1639682999.027431,805384192,0.0
1639682999.232953,805404672,10.9
1639682999.4384909,805507072,11.4
1639682999.6440089,805519360,11.1
1639682999.846474,805740544,11.7
1639683000.0520399,806293504,0.0
1639683000.257608,806297600,18.2
1639683000.4632561,806899712,17.6
1639683000.667547,806924288,10.9
1639683000.873224,804339712,12.2
1639683001.078324,804171776,10.9
1639683001.283991,804143104,10.4
1639683001.489635,804110336,12.3
1639683001.695271,804110336,13.2
1639683001.9009368,804110336,12.8
1639683002.1066182,804110336,11.0
1639683002.312277,804024320,11.1
1639683002.517942,804048896,14.3
1639683002.723562,804114432,14.5
1639683002.9292412,804098048,0.0
1639683003.134932,804163584,0.0
1639683003.34056,805228544,17.7
1639683003.546222,806191104,29.7
1639683003.751945,806215680,9.8
1639683003.957609,806223872,10.9
1639683004.1632829,806211584,10.4
1639683004.368955,806211584,10.3
1639683004.574599,806559744,12.1
1639683004.7802932,806318080,11.5
1639683004.982077,806305792,8.7
1639683005.187753,806326272,10.2
1639683005.3934321,806281216,11.7
1639683005.599042,806383616,12.8
1639683005.801902,806338560,12.9
1639683006.007533,808669184,18.1
1639683006.2137458,808681472,12.2
1639683006.419416,808681472,12.7
1639683006.625068,807366656,12.9
1639683006.8307142,807366656,13.3
1639683007.036353,807366656,13.4
1639683007.242015,807366656,14.5
1639683007.447731,807464960,15.6
1639683007.6534111,807473152,13.0
1639683007.856204,807329792,13.6
1639683008.061867,807038976,16.6
1639683008.267532,806944768,13.0
1639683008.4700391,806916096,3.1
1639683008.675294,806838272,3.7
1639683008.880633,806842368,3.6
1639683009.086251,806842368,0.0
1639683009.291841,806842368,0.0
1639683009.497211,806928384,3.8
1639683009.70193,806866944,3.7
1639683009.9075131,806866944,3.7
1639683010.113013,806805504,4.2
1639683010.318461,806801408,0.0
1639683010.5240698,806789120,3.6
1639683010.729556,806752256,3.6
1639683010.9330869,806756352,1.9
1639683011.138497,806760448,4.2
1639683011.3409111,806744064,3.1
1639683011.54657,806563840,4.3
1639683011.751818,806572032,3.7
1639683011.953503,806440960,4.3
1639683012.15891,806440960,3.6
1639683012.359324,806440960,1.9
1639683012.564922,807538688,15.1
1639683012.770375,807538688,3.6
1639683012.9760451,807546880,3.7
1639683013.1815119,807530496,1.2
1639683013.3868852,807514112,1.2
1639683013.592542,807362560,0.0
1639683013.798188,808304640,16.5
1639683014.003855,808755200,19.9
1639683014.209215,808763392,0.0
1639683014.409874,808792064,0.0
1639683014.615223,808730624,13.1
1639683014.820512,808730624,13.3
1639683015.02607,809066496,16.6
1639683015.231683,810119168,27.7
1639683015.434221,811696128,14.2
1639683015.639922,812081152,14.6
1639683015.845439,812101632,12.8
1639683016.13274,818561024,30.1
1639683016.338253,818577408,14.0
1639683016.543881,818692096,15.2
1639683016.745306,818692096,12.6
1639683016.948002,818692096,4.8
1639683017.1535869,817324032,2.4
1639683017.359015,817324032,0.0
1639683017.563817,817324032,0.0
1639683017.7693708,817385472,2.4
1639683017.972449,817430528,1.8
1639683018.1778262,817430528,0.6
1639683018.381616,817430528,1.2
1639683018.5870411,817430528,3.0
1639683018.7923489,817479680,0.6
1639683018.997729,817528832,1.2
1639683019.202559,817479680,0.0
1639683019.4079711,817475584,3.0
1639683019.613296,817475584,0.6
1639683019.8173282,817635328,1.2
1639683020.022768,817729536,5.7
1639683020.228218,818126848,9.4
1639683020.433562,818126848,0.0
1639683020.638984,818196480,9.1
1639683020.844471,818126848,9.3
1639683021.0499551,818016256,1.8
1639683021.255311,817995776,0.0
1639683021.4605389,817668096,0.0
1639683021.66589,817668096,0.0
1639683021.8713222,817610752,1.1
1639683022.076768,817610752,0.0
1639683022.2821782,817590272,3.0
1639683022.4875362,817590272,0.6
1639683022.692799,817577984,1.2
1639683022.898216,817577984,1.2
1639683023.099266,817590272,1.9
1639683023.3045409,817590272,0.0
1639683023.509983,817590272,1.8
1639683023.712211,817590272,0.6
1639683023.917444,817561600,0.6
